N,expected_E,expected_M
1,-2,1
2,-2,1
3,-2,1
4,-2,1
5,-2,1
6,-2,1
7,-2,1
8,-2,1
9,-2,1
10,-2,1
11,-2,1
12,-2,1
13,-2,1
14,-2,1
15,-2,1
16,-2,1
17,-2,1
18,-2,1
19,-2,1
20,-2,1
21,-2,1
22,-2,1
23,-2,1
24,-2,1
25,-2,1
26,-2,1
27,-2,1
28,-2,1
29,-2,1
30,-2,1
31,-2,1
32,-2,1
33,-2,1
34,-2,1
35,-2,1
36,-1.99944,0.999861
37,-1.99892,0.99973
38,-1.99895,0.999737
39,-1.99897,0.999744
40,-1.999,0.99975
41,-1.99902,0.999756
42,-1.99905,0.999762
43,-1.99907,0.999767
44,-1.99864,0.999659
45,-1.99867,0.999667
46,-1.9987,0.999674
47,-1.99872,0.999681
48,-1.99875,0.999687
49,-1.99878,0.999694
50,-1.9988,0.9997
51,-1.99882,0.999706
52,-1.99885,0.999712
53,-1.99887,0.999717
54,-1.99889,0.999722
55,-1.99891,0.999727
56,-1.99893,0.999732
57,-1.99895,0.999737
58,-1.99897,0.999741
59,-1.99898,0.999746
60,-1.999,0.99975
61,-1.99902,0.999754
62,-1.99903,0.999758
63,-1.99905,0.999762
64,-1.99906,0.999766
65,-1.99908,0.999769
66,-1.99909,0.999773
67,-1.9991,0.999776
68,-1.99912,0.999779
69,-1.99913,0.999783
70,-1.99886,0.999714
71,-1.99887,0.999718
72,-1.99889,0.999722
73,-1.9989,0.999726
74,-1.99892,0.99973
75,-1.99893,0.999733
76,-1.99895,0.999737
77,-1.99896,0.99974
78,-1.99897,0.999744
79,-1.99899,0.999747
80,-1.99875,0.999687
81,-1.99877,0.999691
82,-1.99878,0.999695
83,-1.9988,0.999699
84,-1.99881,0.999702
85,-1.99882,0.999706
86,-1.99884,0.999709
87,-1.99885,0.999713
88,-1.99886,0.999716
89,-1.99888,0.999719
90,-1.99867,0.999667
91,-1.99868,0.99967
92,-1.9987,0.999674
93,-1.99871,0.999677
94,-1.99872,0.999681
95,-1.99874,0.999684
96,-1.99875,0.999687
97,-1.99876,0.999691
98,-1.99878,0.999694
99,-1.99879,0.999697
100,-1.9988,0.9997
101,-1.99881,0.999703
102,-1.99882,0.999706
103,-1.99883,0.999709
104,-1.99885,0.999712
105,-1.99886,0.999714
106,-1.99887,0.999717
107,-1.99869,0.999673
108,-1.9987,0.999676
109,-1.99872,0.999679
110,-1.99873,0.999682
111,-1.99874,0.999685
112,-1.99875,0.999688
113,-1.99876,0.99969
114,-1.9986,0.999649
115,-1.99843,0.999609
116,-1.99845,0.999612
117,-1.99846,0.999615
118,-1.99831,0.999576
119,-1.99815,0.999538
120,-1.998,0.9995
121,-1.99802,0.999504
122,-1.99803,0.999508
123,-1.99789,0.999472
124,-1.9979,0.999476
125,-1.99792,0.99948
126,-1.99794,0.999484
127,-1.99795,0.999488
128,-1.99797,0.999492
129,-1.99798,0.999496
130,-1.998,0.9995
131,-1.99802,0.999504
132,-1.99788,0.99947
133,-1.99789,0.999474
134,-1.99791,0.999478
135,-1.99793,0.999481
136,-1.99794,0.999485
137,-1.99796,0.999489
138,-1.99797,0.999493
139,-1.99799,0.999496
140,-1.998,0.9995
141,-1.99801,0.999504
142,-1.99803,0.999507
143,-1.99804,0.99951
144,-1.99806,0.999514
145,-1.99807,0.999517
146,-1.99808,0.999521
147,-1.9981,0.999524
148,-1.99811,0.999527
149,-1.99812,0.99953
150,-1.99813,0.999533
151,-1.99815,0.999536
152,-1.99816,0.999539
153,-1.99817,0.999542
154,-1.99818,0.999545
155,-1.99819,0.999548
156,-1.99821,0.999551
157,-1.99822,0.999554
158,-1.99823,0.999557
159,-1.99824,0.99956
160,-1.99825,0.999563
161,-1.99826,0.999565
162,-1.99827,0.999568
163,-1.99828,0.999571
164,-1.99829,0.999573
165,-1.9983,0.999576
166,-1.99831,0.999578
167,-1.9982,0.999551
168,-1.9981,0.999524
169,-1.99811,0.999527
170,-1.99812,0.999529
171,-1.99813,0.999532
172,-1.99814,0.999535
173,-1.99815,0.999538
174,-1.99816,0.99954
175,-1.99817,0.999543
176,-1.99818,0.999545
177,-1.99819,0.999548
178,-1.9982,0.999551
179,-1.99821,0.999553
180,-1.99822,0.999556
181,-1.99823,0.999558
182,-1.99824,0.99956
183,-1.99825,0.999563
184,-1.99826,0.999565
185,-1.99827,0.999568
186,-1.99828,0.99957
187,-1.99829,0.999572
188,-1.9983,0.999574
189,-1.99831,0.999577
190,-1.99832,0.999579
191,-1.99832,0.999581
192,-1.99833,0.999583
193,-1.99834,0.999585
194,-1.99835,0.999588
195,-1.99836,0.99959
196,-1.99837,0.999592
197,-1.99838,0.999594
198,-1.99838,0.999596
199,-1.99839,0.999598
200,-1.9984,0.9996
201,-1.99841,0.999602
202,-1.99842,0.999604
203,-1.99842,0.999606
204,-1.99843,0.999608
205,-1.99844,0.99961
206,-1.99845,0.999612
207,-1.99845,0.999614
208,-1.99846,0.999615
209,-1.99847,0.999617
210,-1.99848,0.999619
211,-1.99848,0.999621
212,-1.99849,0.999623
213,-1.9984,0.999601
214,-1.99822,0.999556
215,-1.99823,0.999558
216,-1.99824,0.99956
217,-1.99825,0.999562
218,-1.99826,0.999564
219,-1.99826,0.999566
220,-1.99818,0.999545
221,-1.9981,0.999525
222,-1.99811,0.999527
223,-1.99812,0.999529
224,-1.99812,0.999531
225,-1.99804,0.999511
226,-1.99805,0.999513
227,-1.99806,0.999515
228,-1.99807,0.999518
229,-1.99808,0.99952
230,-1.99809,0.999522
231,-1.9981,0.999524
232,-1.9981,0.999526
233,-1.99811,0.999528
234,-1.99812,0.99953
235,-1.99813,0.999532
236,-1.99805,0.999513
237,-1.99797,0.999494
238,-1.99798,0.999496
239,-1.99799,0.999498
240,-1.998,0.9995
241,-1.99801,0.999502
242,-1.99802,0.999504
243,-1.99794,0.999486
244,-1.99787,0.999467
245,-1.99788,0.999469
246,-1.99789,0.999472
247,-1.99789,0.999474
248,-1.9979,0.999476
249,-1.99783,0.999458
250,-1.99784,0.99946
251,-1.99777,0.999442
252,-1.99778,0.999444
253,-1.99779,0.999447
254,-1.9978,0.999449
255,-1.9978,0.999451
256,-1.99781,0.999453
257,-1.99782,0.999455
258,-1.99783,0.999457
259,-1.99784,0.999459
260,-1.99785,0.999462
261,-1.99785,0.999464
262,-1.99779,0.999447
263,-1.99772,0.99943
264,-1.99765,0.999413
265,-1.99758,0.999396
266,-1.99752,0.99938
267,-1.99753,0.999382
268,-1.99754,0.999384
269,-1.99755,0.999387
270,-1.99756,0.999389
271,-1.99756,0.999391
272,-1.99757,0.999393
273,-1.99758,0.999396
274,-1.99759,0.999398
275,-1.9976,0.9994
276,-1.99761,0.999402
