N,expected_E,expected_M
1,-2,1
2,-2,1
3,-2,1
4,-1.995,0.99875
5,-1.992,0.998
6,-1.99333,0.998333
7,-1.99429,0.998571
8,-1.995,0.99875
9,-1.99556,0.998889
10,-1.996,0.999
11,-1.99636,0.999091
12,-1.99667,0.999167
13,-1.99692,0.999231
14,-1.99714,0.999286
15,-1.99733,0.999333
16,-1.9975,0.999375
17,-1.99765,0.999412
18,-1.99778,0.999444
19,-1.99789,0.999474
20,-1.998,0.9995
21,-1.9981,0.999524
22,-1.99818,0.999545
23,-1.99826,0.999565
24,-1.99833,0.999583
25,-1.9984,0.9996
26,-1.99846,0.999615
27,-1.99852,0.99963
28,-1.99857,0.999643
29,-1.99862,0.999655
30,-1.99867,0.999667
31,-1.99871,0.999677
32,-1.99875,0.999688
33,-1.99879,0.999697
34,-1.99882,0.999706
35,-1.99886,0.999714
36,-1.99833,0.999583
37,-1.99784,0.999459
38,-1.99737,0.999342
39,-1.99744,0.999359
40,-1.9975,0.999375
41,-1.99756,0.99939
42,-1.99762,0.999405
43,-1.99721,0.999302
44,-1.99727,0.999318
45,-1.99733,0.999333
46,-1.99739,0.999348
47,-1.99745,0.999362
48,-1.9975,0.999375
49,-1.99755,0.999388
50,-1.9976,0.9994
51,-1.99765,0.999412
52,-1.99769,0.999423
53,-1.99774,0.999434
54,-1.99778,0.999444
55,-1.99745,0.999364
56,-1.9975,0.999375
57,-1.99754,0.999386
58,-1.99759,0.999397
59,-1.99763,0.999407
60,-1.99767,0.999417
61,-1.9977,0.999426
62,-1.99774,0.999435
63,-1.99746,0.999365
64,-1.99719,0.999297
65,-1.99723,0.999308
66,-1.99727,0.999318
67,-1.99731,0.999328
68,-1.99735,0.999338
69,-1.99739,0.999348
70,-1.99743,0.999357
71,-1.99746,0.999366
72,-1.9975,0.999375
73,-1.99753,0.999384
74,-1.99757,0.999392
75,-1.9976,0.9994
76,-1.99763,0.999408
77,-1.99766,0.999416
78,-1.99769,0.999423
79,-1.99772,0.99943
80,-1.99775,0.999437
81,-1.99778,0.999444
82,-1.9978,0.999451
83,-1.99783,0.999458
84,-1.99786,0.999464
85,-1.99765,0.999412
86,-1.99744,0.99936
87,-1.99724,0.99931
88,-1.99727,0.999318
89,-1.9973,0.999326
90,-1.99711,0.999278
91,-1.99714,0.999286
92,-1.99717,0.999293
93,-1.9972,0.999301
94,-1.99723,0.999309
95,-1.99726,0.999316
96,-1.99729,0.999323
97,-1.99732,0.99933
98,-1.99735,0.999337
99,-1.99717,0.999293
100,-1.997,0.99925
101,-1.99683,0.999208
102,-1.99686,0.999216
103,-1.9967,0.999175
104,-1.99673,0.999183
105,-1.99676,0.99919
106,-1.99679,0.999198
107,-1.99682,0.999206
108,-1.99685,0.999213
109,-1.99688,0.99922
110,-1.99673,0.999182
111,-1.99658,0.999144
112,-1.99661,0.999152
113,-1.99664,0.999159
114,-1.99667,0.999167
115,-1.9967,0.999174
116,-1.99672,0.999181
117,-1.99675,0.999188
118,-1.99678,0.999195
119,-1.99681,0.999202
120,-1.99683,0.999208
121,-1.99686,0.999215
122,-1.99689,0.999221
123,-1.99691,0.999228
124,-1.99694,0.999234
125,-1.99696,0.99924
126,-1.99698,0.999246
127,-1.99685,0.999213
128,-1.99687,0.999219
129,-1.9969,0.999225
130,-1.99692,0.999231
131,-1.99679,0.999198
132,-1.99682,0.999205
133,-1.99684,0.999211
134,-1.99687,0.999216
135,-1.99689,0.999222
136,-1.99691,0.999228
137,-1.99693,0.999234
138,-1.99696,0.999239
139,-1.99698,0.999245
140,-1.997,0.99925
141,-1.99702,0.999255
142,-1.99704,0.999261
143,-1.99692,0.999231
144,-1.99694,0.999236
145,-1.99697,0.999241
146,-1.99685,0.999212
147,-1.99653,0.999116
148,-1.99635,0.999054
149,-1.99638,0.99906
150,-1.9964,0.999067
151,-1.99642,0.999073
152,-1.99645,0.999079
153,-1.99634,0.999052
154,-1.99636,0.999058
155,-1.99639,0.999065
156,-1.99641,0.999071
157,-1.99643,0.999076
158,-1.99646,0.999082
159,-1.99648,0.999088
160,-1.9965,0.999094
161,-1.99652,0.999099
162,-1.99654,0.999105
163,-1.99656,0.99911
164,-1.99659,0.999116
165,-1.99661,0.999121
166,-1.99663,0.999127
167,-1.99665,0.999132
168,-1.99655,0.999107
169,-1.99657,0.999112
170,-1.99659,0.999118
171,-1.99661,0.999123
172,-1.99663,0.999128
173,-1.99665,0.999133
174,-1.99667,0.999138
175,-1.99669,0.999143
176,-1.9967,0.999148
177,-1.99672,0.999153
178,-1.99674,0.999157
179,-1.99676,0.999162
180,-1.99678,0.999167
181,-1.9968,0.999171
182,-1.99681,0.999176
183,-1.99683,0.99918
184,-1.99674,0.999158
185,-1.99676,0.999162
186,-1.99677,0.999167
187,-1.99679,0.999171
188,-1.99681,0.999176
189,-1.99683,0.99918
190,-1.99684,0.999184
191,-1.99686,0.999188
192,-1.99688,0.999193
193,-1.99689,0.999197
194,-1.99691,0.999201
195,-1.99692,0.999205
196,-1.99684,0.999184
197,-1.99675,0.999162
198,-1.99677,0.999167
199,-1.99678,0.999171
200,-1.9968,0.999175
201,-1.99682,0.999179
202,-1.99683,0.999183
203,-1.99685,0.999187
204,-1.99686,0.999191
205,-1.99688,0.999195
206,-1.9968,0.999175
207,-1.99671,0.999155
208,-1.99673,0.999159
209,-1.99665,0.999139
210,-1.99667,0.999143
211,-1.99668,0.999147
212,-1.9967,0.999151
213,-1.99662,0.999131
214,-1.99654,0.999112
215,-1.99647,0.999093
216,-1.99648,0.999097
217,-1.99641,0.999078
218,-1.99642,0.999083
219,-1.99644,0.999087
220,-1.99645,0.999091
221,-1.99647,0.999095
222,-1.99649,0.999099
223,-1.9965,0.999103
224,-1.99652,0.999107
225,-1.99653,0.999111
226,-1.99655,0.999115
227,-1.99656,0.999119
228,-1.99658,0.999123
229,-1.99659,0.999127
230,-1.99661,0.99913
231,-1.99662,0.999134
232,-1.99664,0.999138
233,-1.99665,0.999142
234,-1.99667,0.999145
235,-1.9966,0.999128
236,-1.99661,0.999131
237,-1.99662,0.999135
238,-1.99664,0.999139
239,-1.99665,0.999142
240,-1.99667,0.999146
241,-1.99668,0.999149
242,-1.99669,0.999153
243,-1.99671,0.999156
244,-1.99672,0.99916
245,-1.99673,0.999163
246,-1.99675,0.999167
247,-1.99676,0.99917
248,-1.99677,0.999173
249,-1.99679,0.999177
250,-1.9968,0.99918
251,-1.99681,0.999183
252,-1.99683,0.999187
253,-1.99684,0.99919
254,-1.99685,0.999193
255,-1.99678,0.999176
256,-1.9968,0.99918
257,-1.99681,0.999183
258,-1.99682,0.999186
259,-1.99683,0.999189
260,-1.99685,0.999192
261,-1.99686,0.999195
