N,expected_E,expected_M
1,-0.59,0.105
2,-0.71,0.14
3,-0.766667,0.128333
4,-0.81,0.13375
5,-0.858,0.151
6,-0.908333,0.145
7,-0.918571,0.125714
8,-0.94125,0.110625
9,-0.967778,0.104444
10,-0.974,0.102
11,-0.979091,0.108182
12,-0.9875,0.110417
13,-0.996154,0.107308
14,-1.00429,0.105357
15,-1.006,0.108667
16,-1.00375,0.112813
17,-1.00294,0.116765
18,-1.00111,0.118333
19,-1.00105,0.119211
20,-1.0075,0.1265
21,-1.01,0.135238
22,-1.01045,0.147273
23,-1.01565,0.160652
24,-1.02375,0.171458
25,-1.0332,0.181
26,-1.03769,0.192115
27,-1.04593,0.201111
28,-1.05714,0.209821
29,-1.06414,0.218103
30,-1.06833,0.225
31,-1.07258,0.232581
32,-1.07719,0.239219
33,-1.0803,0.243939
34,-1.08,0.247353
35,-1.08143,0.248286
36,-1.08389,0.248194
37,-1.08541,0.245946
38,-1.08789,0.242763
39,-1.08615,0.240256
40,-1.08725,0.24125
41,-1.08707,0.241951
42,-1.0881,0.244286
43,-1.09163,0.247907
44,-1.09614,0.252159
45,-1.10067,0.256222
46,-1.10543,0.259674
47,-1.10979,0.261489
48,-1.11438,0.262708
49,-1.11796,0.264184
50,-1.1214,0.2668
51,-1.12686,0.270686
52,-1.13058,0.274808
53,-1.13472,0.278208
54,-1.13981,0.282315
55,-1.14273,0.284273
56,-1.145,0.287143
57,-1.14579,0.289737
58,-1.1469,0.292241
59,-1.1478,0.292966
60,-1.14783,0.294833
61,-1.14967,0.297295
62,-1.15274,0.302016
63,-1.15667,0.305873
64,-1.16016,0.308594
65,-1.16338,0.311
66,-1.16682,0.313333
67,-1.17015,0.316866
68,-1.17147,0.319338
69,-1.17319,0.323333
70,-1.17629,0.328286
71,-1.17789,0.332183
72,-1.17889,0.335903
73,-1.18055,0.340342
74,-1.18068,0.344324
75,-1.18293,0.3486
76,-1.18368,0.352237
77,-1.18351,0.355455
78,-1.18526,0.359551
79,-1.18734,0.364051
80,-1.18887,0.36825
81,-1.18988,0.372222
82,-1.19146,0.376829
83,-1.19578,0.38241
84,-1.19929,0.387857
85,-1.20271,0.393
86,-1.20419,0.397093
87,-1.20586,0.400977
88,-1.20886,0.405341
89,-1.21124,0.409719
90,-1.21411,0.413722
91,-1.21505,0.416593
92,-1.21674,0.419565
93,-1.21785,0.422312
94,-1.21862,0.425106
95,-1.22074,0.428211
96,-1.22302,0.431406
97,-1.22381,0.433866
98,-1.22541,0.436735
99,-1.22677,0.43904
100,-1.229,0.44145
101,-1.23099,0.443911
102,-1.23235,0.445735
103,-1.23311,0.447573
104,-1.23404,0.449135
105,-1.23543,0.451571
106,-1.23726,0.454245
107,-1.23869,0.457056
108,-1.23935,0.459537
109,-1.24028,0.461606
110,-1.23945,0.463227
111,-1.23838,0.46464
112,-1.23884,0.466741
113,-1.2392,0.468363
114,-1.23991,0.469825
115,-1.24226,0.472522
116,-1.24457,0.475216
117,-1.24769,0.477949
118,-1.24966,0.480508
119,-1.25185,0.482815
120,-1.25433,0.485542
121,-1.25678,0.488182
122,-1.25861,0.49082
123,-1.26008,0.493374
124,-1.26202,0.495847
125,-1.26376,0.4982
126,-1.26476,0.500079
127,-1.26567,0.501929
128,-1.26594,0.50332
129,-1.26512,0.504612
130,-1.26423,0.505462
131,-1.26374,0.506794
132,-1.26432,0.507955
133,-1.26489,0.508835
134,-1.26582,0.509925
135,-1.26644,0.510778
136,-1.26662,0.511691
137,-1.26599,0.512482
138,-1.2663,0.513261
139,-1.26619,0.514173
140,-1.267,0.515643
141,-1.26801,0.517447
142,-1.26901,0.519261
143,-1.27049,0.521154
144,-1.27243,0.523472
145,-1.27497,0.525966
146,-1.27623,0.527911
147,-1.27741,0.529694
148,-1.27878,0.531486
149,-1.28007,0.533154
150,-1.28053,0.534467
151,-1.28093,0.535828
152,-1.28145,0.537072
153,-1.28163,0.538203
154,-1.28247,0.53961
155,-1.28361,0.541129
156,-1.28487,0.54266
157,-1.28599,0.544268
158,-1.28722,0.546139
159,-1.28874,0.547893
160,-1.28956,0.549406
161,-1.29075,0.551087
162,-1.29185,0.552469
163,-1.29319,0.553804
164,-1.29287,0.554634
165,-1.29297,0.555545
166,-1.29289,0.556175
167,-1.29186,0.555868
168,-1.29006,0.555119
169,-1.28882,0.554379
170,-1.28771,0.553824
171,-1.28643,0.552632
172,-1.28564,0.551483
173,-1.28399,0.549942
174,-1.28264,0.548477
175,-1.28109,0.547114
176,-1.27932,0.545881
177,-1.27768,0.544548
178,-1.27607,0.543202
179,-1.27475,0.542067
180,-1.27344,0.540972
181,-1.2721,0.540304
182,-1.27148,0.54011
183,-1.27082,0.539781
184,-1.27092,0.539647
185,-1.27124,0.539703
186,-1.27102,0.539677
187,-1.27134,0.539492
188,-1.2708,0.539202
189,-1.27074,0.539259
190,-1.27058,0.539184
191,-1.27021,0.538979
192,-1.27005,0.538646
193,-1.2699,0.538264
194,-1.27046,0.53817
195,-1.27031,0.538026
196,-1.27087,0.538265
197,-1.27178,0.538452
198,-1.27247,0.538561
199,-1.27251,0.538442
200,-1.2731,0.53865
201,-1.27328,0.538756
202,-1.27386,0.538688
203,-1.27429,0.538744
204,-1.2748,0.539093
205,-1.27537,0.539537
206,-1.27558,0.540024
207,-1.27565,0.540072
208,-1.27577,0.540192
209,-1.27598,0.539928
210,-1.27605,0.539643
211,-1.27602,0.539147
212,-1.27618,0.538797
213,-1.2769,0.53892
214,-1.27748,0.539089
215,-1.27767,0.53907
216,-1.27769,0.538819
217,-1.27714,0.538387
218,-1.27656,0.538119
219,-1.27562,0.537785
220,-1.27459,0.537523
221,-1.27412,0.537647
222,-1.27356,0.537658
223,-1.27269,0.537399
224,-1.27205,0.537009
225,-1.27147,0.536844
226,-1.27119,0.536858
227,-1.27035,0.536454
228,-1.26965,0.535548
229,-1.26891,0.534869
230,-1.26809,0.534
231,-1.2674,0.533247
232,-1.26685,0.532629
233,-1.26661,0.532339
234,-1.26645,0.532265
235,-1.26651,0.53234
236,-1.26665,0.532267
237,-1.26658,0.531857
238,-1.2666,0.531576
239,-1.26682,0.531548
240,-1.26687,0.531604
241,-1.26664,0.531307
242,-1.26616,0.530868
243,-1.26572,0.53072
244,-1.26586,0.530902
245,-1.26543,0.53102
246,-1.26589,0.53126
247,-1.26623,0.531377
248,-1.26593,0.531431
249,-1.26586,0.531345
250,-1.26548,0.53108
251,-1.26522,0.530637
252,-1.26516,0.530317
253,-1.26557,0.530158
254,-1.26614,0.529961
255,-1.2669,0.529745
256,-1.26758,0.529805
257,-1.26798,0.529825
258,-1.26884,0.530078
259,-1.26931,0.530328
260,-1.26973,0.53075
261,-1.26981,0.530996
262,-1.2705,0.531164
263,-1.27091,0.531103
264,-1.27117,0.531117
265,-1.27094,0.530792
266,-1.2709,0.530564
267,-1.27022,0.53
268,-1.26974,0.529384
269,-1.26933,0.528773
270,-1.269,0.528148
271,-1.26871,0.527528
272,-1.26835,0.527022
273,-1.26788,0.526264
274,-1.26682,0.525328
275,-1.26571,0.5242
276,-1.26507,0.523551
277,-1.26426,0.523014
278,-1.26381,0.522464
279,-1.26355,0.521864
280,-1.26332,0.521518
281,-1.26313,0.52153
282,-1.26294,0.521791
283,-1.26318,0.522032
284,-1.26299,0.522201
285,-1.26326,0.522351
286,-1.26332,0.522517
287,-1.26282,0.522631
288,-1.26247,0.52283
289,-1.26242,0.523131
290,-1.26221,0.523397
291,-1.26237,0.523694
292,-1.26223,0.523938
293,-1.26218,0.524352
294,-1.26218,0.524745
295,-1.26247,0.525102
296,-1.2627,0.52549
297,-1.26263,0.525758
298,-1.26245,0.525789
299,-1.26271,0.525953
300,-1.2629,0.526217
301,-1.26292,0.526362
302,-1.26301,0.526589
303,-1.26281,0.526815
304,-1.26237,0.526776
305,-1.26177,0.526902
306,-1.26183,0.527108
307,-1.26205,0.527459
308,-1.26211,0.52763
309,-1.26172,0.527492
310,-1.26145,0.52729
311,-1.2609,0.526961
312,-1.26029,0.526458
313,-1.25978,0.525847
314,-1.25936,0.525621
315,-1.25927,0.525619
316,-1.25965,0.525649
317,-1.26003,0.525789
318,-1.26006,0.525692
319,-1.25978,0.525361
320,-1.25944,0.525188
321,-1.25935,0.525218
322,-1.25932,0.525248
323,-1.25926,0.525356
