epsilon,p
-1.77,0.0001
-1.71,0.0001
-1.68,0.0001
-1.67,0.0001
-1.66,0.0001
-1.65,0.0002
-1.64,0.0004
-1.63,0.0008
-1.62,0.0005
-1.61,0.0005
-1.6,0.001
-1.59,0.0016
-1.58,0.0014
-1.57,0.0014
-1.56,0.0018
-1.55,0.0017
-1.54,0.0024
-1.53,0.0025
-1.52,0.003
-1.51,0.0036
-1.5,0.0032
-1.49,0.0057
-1.48,0.0034
-1.47,0.0036
-1.46,0.0067
-1.45,0.0075
-1.44,0.0083
-1.43,0.008
-1.42,0.0075
-1.41,0.0095
-1.4,0.0111
-1.39,0.0105
-1.38,0.012
-1.37,0.0145
-1.36,0.0154
-1.35,0.0168
-1.34,0.0176
-1.33,0.0157
-1.32,0.0191
-1.31,0.0227
-1.3,0.0185
-1.29,0.023
-1.28,0.0237
-1.27,0.0225
-1.26,0.0257
-1.25,0.0261
-1.24,0.0261
-1.23,0.0262
-1.22,0.0268
-1.21,0.0257
-1.2,0.0293
-1.19,0.0282
-1.18,0.0292
-1.17,0.0302
-1.16,0.0258
-1.15,0.0289
-1.14,0.0278
-1.13,0.0282
-1.12,0.0272
-1.11,0.0269
-1.1,0.0233
-1.09,0.0224
-1.08,0.02
-1.07,0.0217
-1.06,0.0166
-1.05,0.0174
-1.04,0.0155
-1.03,0.0148
-1.02,0.0131
-1.01,0.0101
-1,0.0102
-0.99,0.0076
-0.98,0.0066
-0.97,0.0052
-0.96,0.006
-0.95,0.0032
-0.94,0.0041
-0.93,0.0027
-0.92,0.0024
-0.91,0.0016
-0.9,0.0014
-0.89,0.0014
-0.88,0.0011
-0.87,0.0011
-0.86,0.0005
-0.85,0.0007
-0.84,0.0002
-0.83,0.0003
-0.82,0.0001
-0.81,0.0002
-0.8,0.0001
-0.79,0.0001
-0.78,0.0002
