<<<<<<< HEAD
T,<epsilon>,<|m|>,C_v,chi
2.1,-1.66106,0.867531,0.98836,1.08302
2.1375,-1.62435,0.844241,1.11344,1.97846
2.25,-1.46117,0.675472,1.98074,19.3539
2.325,-1.31686,0.422935,1.79317,31.8935
2.2125,-1.52799,0.767367,1.48465,5.88333
2.175,-1.57896,0.813405,1.23247,2.3336
2.2875,-1.39474,0.585136,1.91199,21.3265
2.3625,-1.26183,0.338397,1.52325,26.9987
2.10625,-1.6554,0.865061,0.984259,1.02541
2.14375,-1.6143,0.835656,1.16532,2.69249
2.25625,-1.45434,0.676278,1.87012,15.0999
2.18125,-1.57101,0.807029,1.29567,2.85422
2.21875,-1.51823,0.75409,1.62213,8.75869
2.33125,-1.30587,0.403719,1.77558,31.132
2.29375,-1.37815,0.550821,1.99799,25.291
2.36875,-1.24792,0.316084,1.41335,23.6214
2.1125,-1.64971,0.861644,0.980331,0.998149
2.15,-1.60946,0.835522,1.14213,1.85671
2.2625,-1.44374,0.661424,1.89769,15.8733
2.225,-1.51054,0.7493,1.5432,7.58563
2.1875,-1.56155,0.79424,1.42603,5.49174
2.3,-1.36725,0.528961,2.04728,29.1975
2.3375,-1.29459,0.386231,1.67857,28.7134
2.375,-1.23649,0.288987,1.36376,22.9244
2.11875,-1.64455,0.859068,1.02374,1.06103
2.15625,-1.60257,0.830548,1.15572,2.18409
2.26875,-1.43071,0.638384,1.94318,21.5788
2.19375,-1.55271,0.782806,1.54956,8.39274
2.30625,-1.35609,0.511823,1.9423,28.6799
2.23125,-1.49791,0.729849,1.6752,11.3169
2.34375,-1.28874,0.387546,1.62519,28.8618
2.38125,-1.23277,0.288322,1.33644,22.737
2.125,-1.63668,0.853016,1.07046,1.4852
2.1625,-1.59614,0.826456,1.16702,2.05328
2.275,-1.41837,0.615517,1.99873,23.3368
2.2,-1.54677,0.786507,1.41827,4.09149
2.3125,-1.3481,0.503666,1.91164,27.567
2.2375,-1.48774,0.715153,1.80256,14.2219
2.35,-1.27876,0.373784,1.54824,26.397
2.3875,-1.22029,0.262206,1.25161,21.1418
2.13125,-1.63092,0.850344,1.05875,1.31338
2.28125,-1.40843,0.605975,2.04222,22.1184
2.16875,-1.58718,0.818536,1.24323,2.50639
2.20625,-1.53958,0.781882,1.38355,4.06424
2.24375,-1.47834,0.709614,1.74186,11.7595
2.31875,-1.33192,0.46385,1.81595,28.8038
2.35625,-1.26855,0.354004,1.51987,26.2035
2.39375,-1.21573,0.266827,1.28356,21.2001
=======
>>>>>>> cd80dc8ed2b19fdf49ebcb10ca30a9dd000e2f5e
