T,<epsilon>,<|m|>,C_v,chi
2.15,-1.60995,0.836077,1.16587,1.90471
2.2375,-1.48605,0.711349,1.8124,16.1443
2.275,-1.41171,0.559795,2.46107,130.426
2.2625,-1.43866,0.630806,2.06876,39.9083
2.3,-1.34695,0.288724,1.92213,177.323
2.3125,-1.3202,0.167015,1.56691,110.053
2.2875,-1.36686,0.290776,2.22167,273.385
2.3375,-1.28317,0.126736,1.46148,82.7629
2.25,-1.46426,0.676854,2.09401,52.1425
2.35,-1.26549,0.123589,1.34944,61.1375
2.375,-1.23218,0.08117,1.20135,29.4608
2.325,-1.30292,0.172473,1.53076,109.462
2.1375,-1.62324,0.844657,1.10305,1.58408
2.125,-1.63725,0.854131,1.05224,1.23848
2.1625,-1.5951,0.82492,1.2196,2.37206
2.1125,-1.65006,0.86184,0.997698,1.08356
2.175,-1.58031,0.814429,1.25665,2.68692
2.1,-1.66215,0.86893,0.955305,0.917408
2.2125,-1.5263,0.758433,1.63364,19.1536
2.225,-1.50951,0.746351,1.65715,10.6151
2.1875,-1.56442,0.801767,1.32655,3.23877
2.2,-1.54656,0.784676,1.36652,4.65116
2.3875,-1.2187,0.0783538,1.20622,28.5829
2.3625,-1.2503,0.0952494,1.31267,44.1573
